time_stamp, accel_x, accel_y, accel_z, linear_x, linear_y, linear_z, gravity_x, gravity_y, gravity_z, quat_w, quat_x, quat_y, quat_z, gyro_x, gyro_y, gyro_z, altitude, temperature, pressure, gps_nmea
11,1.58,27.93,100823.82,0.14,0.28,0.24,0.11,-2.74,9.41,-0.13,0.06,-0.49,0.86,5.19,3.50,-8.63,1.58,27.93,100823.82,,002*2D

251,1.58,27.94,100823.95,0.53,1.17,0.56,-0.06,-1.94,9.61,-0.08,0.06,-0.57,0.82,29.75,-6.06,-74.19,1.58,27.94,100823.95,,002*2D

235,1.58,27.94,100822.52,0.36,0.70,0.39,-1.60,-0.22,9.67,0.05,0.06,-0.73,0.68,72.19,40.19,-116.62,1.58,27.94,100822.52,,002*2D

221,1.58,27.93,100821.88,1.96,-0.68,0.96,-2.40,1.07,9.44,0.13,0.01,-0.86,0.50,5.44,-23.81,-42.31,1.58,27.93,100821.88,,002*2D

209,1.58,27.93,100821.76,0.48,-0.02,0.12,0.50,-1.00,9.74,-0.05,0.03,-0.84,0.53,-32.44,-105.69,42.31,1.58,27.93,100821.76,,002*2D

195,1.58,27.93,100822.25,-0.65,-0.51,-0.02,2.45,-1.16,9.42,-0.14,-0.02,-0.82,0.56,11.00,-57.25,-3.25,1.58,27.93,100822.25,,002*2D

179,1.58,27.93,100822.57,0.13,0.38,-0.14,2.77,-0.77,9.37,-0.14,-0.05,-0.82,0.56,-1.81,12.19,-1.12,1.58,27.93,100822.57,,002*2D

164,1.58,27.93,100823.16,-0.01,0.13,0.72,-0.77,-0.53,9.76,0.02,0.04,-0.84,0.55,9.75,117.75,6.25,1.58,27.93,100823.16,,002*2D

148,1.58,27.93,100822.08,0.06,0.00,0.06,-2.45,-0.37,9.48,0.09,0.09,-0.83,0.55,0.88,10.13,-1.12,1.58,27.93,100822.08,,002*2D

132,1.58,27.92,100821.41,0.11,-0.25,-0.17,-2.61,-0.41,9.44,0.10,0.09,-0.83,0.55,0.75,3.00,4.12,1.58,27.92,100821.41,,002*2D

120,1.58,27.93,100821.04,0.21,-1.79,0.00,-3.34,-0.40,9.20,0.13,0.12,-0.81,0.56,-7.56,40.25,22.00,1.58,27.93,100821.04,,002*2D

