hours, minutes, seconds, microseconds, status, latitude, North/South, longitude, East/West
Initializing GPS
18,43,23,747093,V,,,,
18,43,24,263092,V,,,,
18,43,24,776091,V,,,,
18,43,25,289091,V,,,,
18,43,25,810094,V,,,,
18,43,26,325993,V,,,,
18,43,26,839093,V,,,,
18,43,27,352091,V,,,,
18,43,27,865091,V,,,,
18,43,28,383091,V,,,,
18,43,28,896091,V,,,,
18,43,29,414094,V,,,,
18,43,29,927092,V,,,,
18,43,30,440092,V,,,,
18,43,30,953094,V,,,,
18,43,31,466093,V,,,,
18,43,31,979085,V,,,,
18,43,32,491516,V,,,,
18,43,33,10570,V,,,,
18,43,33,521437,V,,,,
18,43,34,35094,V,,,,
18,43,34,548095,V,,,,
18,43,35,64094,V,,,,
18,43,35,578095,V,,,,
18,43,36,95093,V,,,,
18,43,36,611094,V,,,,
18,43,37,125093,V,,,,
18,43,37,642102,V,,,,
18,43,38,155148,V,,,,
18,43,38,668093,V,,,,
18,43,39,181093,V,,,,
18,43,39,697094,V,,,,
18,43,40,210094,V,,,,
18,43,40,723091,V,,,,
18,43,41,236090,V,,,,
18,43,41,749088,V,,,,
18,43,42,262093,V,,,,
18,43,42,774094,V,,,,
18,43,43,290094,V,,,,
18,43,43,803093,V,,,,
18,43,44,316094,V,,,,
18,43,44,829093,V,,,,
18,43,45,342091,V,,,,
18,43,45,855094,V,,,,
18,43,46,371094,V,,,,
18,43,46,884093,V,,,,
18,43,47,397093,V,,,,
18,43,47,911091,V,,,,
18,43,48,425090,V,,,,
18,43,48,948092,V,,,,
18,43,49,466746,V,,,,
18,43,49,981093,V,,,,
18,43,50,494094,V,,,,
18,43,51,7095,V,,,,
18,43,51,520096,V,,,,
18,43,52,33096,V,,,,
18,43,52,546095,V,,,,
18,43,53,62095,V,,,,
18,43,53,575094,V,,,,
18,43,54,91093,V,,,,
18,43,54,605090,V,,,,
18,43,55,118092,V,,,,
18,43,55,631090,V,,,,
18,43,56,150090,V,,,,
18,43,56,671094,V,,,,
18,43,57,182453,V,,,,
18,43,57,695093,V,,,,
18,43,58,208093,V,,,,
18,43,58,721091,V,,,,
18,43,59,234093,V,,,,
18,43,59,753094,V,,,,
18,44,0,266093,V,,,,
18,44,0,779092,V,,,,
18,44,1,292094,V,,,,
18,44,1,807091,V,,,,
18,44,2,320122,V,,,,
18,44,2,833091,V,,,,
18,44,3,349093,V,,,,
18,44,3,861652,V,,,,
18,44,4,373455,V,,,,
18,44,4,887093,V,,,,
18,44,5,400093,V,,,,
18,44,5,913093,V,,,,
18,44,6,429093,V,,,,
18,44,6,942093,V,,,,
18,44,7,454092,V,,,,
18,44,7,967093,V,,,,
18,44,8,480091,V,,,,
18,44,8,993091,V,,,,
18,44,9,506093,V,,,,
18,44,10,22094,V,,,,
18,44,10,534094,V,,,,
18,44,11,48753,V,,,,
18,44,11,558101,V,,,,
18,44,12,72095,V,,,,
18,44,12,585094,V,,,,
18,44,13,101094,V,,,,
18,44,13,614094,V,,,,
18,44,14,129094,V,,,,
18,44,14,642094,V,,,,
18,44,15,158092,V,,,,
18,44,15,671091,V,,,,
18,44,16,184091,V,,,,
18,44,16,700091,V,,,,
18,44,17,213093,V,,,,
18,44,17,726095,V,W,0.25,74.19,040525
18,44,18,239090,08637.0033,W,0.25,74.19,040525
18,44,18,752090,08637.0033,W,0.25,74.19,040525
18,44,19,265036,08637.0033,W,0.25,74.19,040525
18,44,19,787093,08637.0033,W,0.25,74.19,040525
18,44,20,303095,08637.0033,W,0.25,74.19,040525
18,44,20,816094,08637.0033,W,0.25,74.19,040525
18,44,21,329092,08637.0033,W,0.25,74.19,040525
18,44,21,845091,08637.0033,W,0.25,74.19,040525
18,44,22,358093,08637.0033,W,0.25,74.19,040525
18,44,22,881094,08637.0033,W,0.25,74.19,040525
18,44,23,411093,08637.0033,W,0.25,74.19,040525
18,44,23,924093,08637.0033,W,0.25,74.19,040525
18,44,24,437091,08637.0033,W,0.25,74.19,040525
18,44,24,950150,08637.0033,W,N,08637.0033,W
18,44,25,463109,A,3453.8194,N,08637.0033,W
18,44,25,976162,A,3453.8194,N,08637.0033,W
18,44,26,487075,A,3453.8194,N,08637.0033,W
18,44,27,3095,A,3453.8194,N,08637.0033,W
18,44,27,516094,A,3453.8194,N,08637.0033,W
18,44,28,31093,A,3453.8194,N,08637.0033,W
18,44,28,544095,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,29,57095,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,29,570093,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,30,89093,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,30,605093,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,31,118093,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,31,632093,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,32,145093,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,32,658116,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,33,175090,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,33,697092,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,34,210008,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,34,723091,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,35,236093,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,35,752093,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,36,265091,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,36,778096,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,37,291094,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,37,812093,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,38,325094,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,38,838091,MTKGPS*08
,3453.8194,N,08637.0033,W
18,44,39,351093,MTKGPS*08
,3453.8194,N,,
18,44,39,864091,V,,,,
18,44,40,379092,V,,,,
18,44,40,895090,V,,,,
18,44,41,407041,V,,,,
18,44,41,920096,V,,,,
18,44,42,433091,V,,,,
18,44,42,946091,V,,,,
18,44,43,459091,V,,,,
18,44,43,972095,V,,,,
18,44,44,488094,V,,,,
18,44,45,69,V,,,,
18,44,45,513095,V,,,,
18,44,46,26091,V,,,,
18,44,46,539096,V,,,,
18,44,47,54094,V,,,,
18,44,47,570095,V,,,,
