time_stamp,altitude,temperature,pressure
near_x, linear_y, linear_z, gravity_x, gravity_y, gravity_z, quat_w, quat_x, quat_y, quat_z, gyro_x, gyro_y, gyro_z
0,4.19,8.12,3.37,0.06,0.43,-1.09,4.07,7.67,4.54,0.51,0.08,0.51,0.68,-14.87,90.31,11.00
127,1.68,6.86,6.75,-0.20,0.68,-0.29,2.34,6.00,7.39,0.34,0.09,0.55,0.76,71.06,-67.62,23.44
254,-6.70,7.22,-0.55,-0.03,0.04,-0.22,-6.67,7.18,-0.32,-0.23,0.68,0.64,0.28,-0.81,-7.87,0.69
124,-5.71,6.62,-3.77,0.45,0.11,0.20,-6.16,6.50,-3.98,-0.38,0.74,0.52,0.15,-7.81,-2.81,-1.12
17,-3.70,7.70,-1.17,2.24,-0.04,-0.37,-5.96,7.71,-1.03,-0.33,0.66,0.66,0.13,60.88,160.63,-31.87
126,-4.43,7.44,-3.47,-0.03,-0.46,0.05,-4.12,8.18,-3.47,-0.25,0.78,0.56,0.09,-8.94,15.75,20.44
233,-4.10,7.87,-4.25,-1.03,-0.51,-0.20,-3.05,8.38,-4.06,-0.09,0.84,0.53,0.13,5.44,15.13,2.06
102,-3.65,8.05,-3.89,-0.52,-0.23,0.30,-3.13,8.29,-4.19,-0.09,0.84,0.52,0.13,2.69,-16.56,-3.19
229,-8.56,2.04,-5.12,0.00,-1.07,-1.52,-8.56,3.12,-3.60,-0.44,0.70,0.45,0.34,-169.81,-156.50,116.06
120,4.24,-8.48,-2.05,0.27,0.17,0.26,3.97,-8.65,-2.32,0.78,0.05,0.22,-0.58,-8.75,8.44,-4.81
13,2.63,-7.96,-4.15,-0.43,0.47,-0.22,3.06,-8.44,-3.92,0.82,0.15,0.09,-0.54,-10.06,-0.25,-7.31
160,3.12,-8.88,-0.40,-0.57,0.03,1.28,3.70,-8.92,-1.69,0.76,0.11,0.16,-0.62,-35.13,-25.81,15.69
51,4.98,-7.87,1.04,0.99,1.01,-0.09,3.98,-8.88,1.13,0.66,0.08,0.22,-0.71,16.00,-4.00,9.75
197,5.83,-4.30,7.08,0.51,0.27,0.23,5.31,-4.57,6.84,0.35,0.18,0.35,-0.85,33.44,-9.38,6.12
88,4.55,-8.70,1.65,-0.45,-0.50,-0.29,5.00,-8.20,1.94,0.53,0.35,-0.03,-0.77,-32.25,-28.56,156.69
245,-0.80,-8.33,-3.40,2.14,0.29,0.20,-2.94,-8.62,-3.61,0.51,0.65,-0.53,-0.19,-0.88,15.13,-5.56
114,-4.45,-8.28,0.09,0.85,-0.05,0.62,-5.31,-8.22,-0.52,0.43,0.59,-0.69,-0.04,-0.06,-7.12,2.44
6,-5.28,-7.72,-0.10,0.03,0.51,-0.23,-5.31,-8.24,0.13,0.43,0.55,-0.71,-0.06,-5.50,10.31,12.44
153,-0.86,-7.93,-5.17,-0.04,0.09,0.39,-0.82,-8.03,-5.56,0.41,0.78,-0.43,-0.17,-8.31,-2.94,13.06
24,1.42,-1.46,-9.57,0.27,0.65,-0.07,1.14,-2.11,-9.50,0.57,0.81,-0.06,-0.11,-4.81,6.25,3.50
150,4.67,-3.12,-8.16,0.71,0.22,0.15,3.96,-3.35,-8.32,0.85,0.45,0.10,-0.26,-6.81,0.31,9.00
2,-3.61,0.51,0.65,-0.53,-0.19,-0.88,15.13,-5.56
114,-4.45,-8.28,0.09,0.85,-0.05,0.62,-5.31,-8.22,-0.52,0.43,0.59,-0.69,-0.04,-0.06,-7.12,2.44
6,-5.28,-7.72,-0.10,0.03,0.51,-0.23,-5.31,-8.24,0.13,0.43,0.55,-0.71,-0.06,-5.50,10.31,12.44
153,-0.86,-7.93,-5.17,-0.04,0.09,0.39,-0.82,-8.03,-5.56,0.41,0.78,-0.43,-0.17,-8.31,-2.94,13.06
24,1.42,-1.46,-9.57,0.27,0.65,-0.07,1.14,-2.11,-9.50,0.57,0.81,-0.06,-0.11,-4.81,6.25,3.50
150,4.67,-3.12,-8.16,0.71,0.22,0.15,3.96,-3.35,-8.32,0.85,0.45,0.10,-0.9,9.24,-0.05,-0.04,-0.07,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.06,-0.06,0.00
25,2.20,2.09,9.24,-0.04,-0.04,-0.05,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,0.13,-0.06
152,2.19,2.09,9.24,-0.05,-0.05,-0.09,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,-0.13,0.00
22,2.18,2.12,9.24,-0.06,-0.02,-0.05,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,-0.19,-0.06
148,2.19,2.09,9.22,-0.05,-0.04,-0.10,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.06,0.06,0.06
20,2.20,2.08,9.21,-0.03,-0.06,-0.08,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.06,0.25,0.00
144,2.20,2.11,9.22,-0.04,-0.03,-0.07,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,-0.06,-0.13
15,2.19,2.10,9.21,-0.05,-0.07,-0.06,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.06,-0.13,0.00
141,2.18,2.09,9.22,-0.05,-0.04,-0.07,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.06,0.00,0.13
11,2.19,2.09,9.25,-0.04,-0.02,-0.06,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.13,0.00,0.06
138,2.18,2.10,9.22,-0.05,-0.03,-0.07,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.06,0.06,0.00
7,2.18,2.08,9.24,-0.06,-0.04,-0.10,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,-0.06,0.06
135,2.20,2.09,9.22,-0.04,-0.04,-0.07,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,-0.06,-0.06
4,2.20,2.11,9.23,-0.03,-0.03,-0.06,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.06,0.06,-0.06
130,2.18,2.08,9.24,-0.05,-0.04,-0.07,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,0.06,-0.13
1,2.18,2.08,9.23,-0.06,-0.06,-0.06,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.06,-0.06,0.06
126,2.18,2.09,9.24,-0.05,-0.04,-0.05,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.06,0.06,-0.13
253,2.18,2.11,9.21,-0.06,-0.02,-0.08,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.06,0.13,0.00
122,2.19,2.10,9.21,-0.05,-0.05,-0.06,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,-0.19,-0.13
247,2.20,2.08,9.22,-0.03,-0.05,-0.07,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.06,0.06,0.00
119,2.18,2.09,9.20,-0.05,-0.04,-0.09,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.06,0.06,0.06
248,2.19,2.12,9.20,-0.04,-0.01,-0.09,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,0.19,0.00
116,2.19,2.10,9.22,-0.05,-0.03,-0.07,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,0.06,-0.13
243,2.18,2.08,9.19,-0.06,-0.05,-0.10,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.06,0.06,0.19
113,2.19,2.10,9.23,-0.05,-0.04,-0.06,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,-0.25,0.13
244,2.19,2.11,9.21,-0.04,-0.02,-0.08,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.06,0.06,0.00
113,2.21,2.07,9.25,-0.04,-0.07,-0.02,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,0.19,0.06
242,2.22,2.13,9.22,-0.01,0.00,-0.07,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.13,0.06,0.00
111,2.22,2.08,9.23,-0.04,-0.03,-0.06,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.13,-0.25,0.06
238,2.20,2.06,9.25,-0.04,-0.07,-0.04,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.13,0.00,-0.06
108,2.20,2.09,9.22,-0.06,-0.02,-0.06,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,0.13,0.00
235,2.20,2.09,9.21,-0.04,-0.05,-0.08,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,0.06,0.00
110,2.19,2.09,9.20,-0.05,-0.05,-0.09,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.06,0.13,0.00
234,2.19,2.08,9.24,-0.03,-0.04,-0.07,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,-0.13,0.00
85,2.20,2.06,9.23,-0.03,-0.07,-0.06,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,0.00,0.06
