# Simulation 5 (Up to date)
# 960 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27 m/s):  "Drogue Parachute"
#   Recovery device deployment at high speed (30.4 m/s):  "Main Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (m),CG location (m),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (m),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
9.885,2263.711,2263.711,203.045,206.933,-21.568,21.695,380.077,0.134,380.077,89.98,39.926,2.34,28.61,-80.596,6.666e-4,-1.248e-8,-0.001,-0.001,78.875,89.96,17.82,3.332,7.887,0.074,9.785,2.23,1.638,3.775,0,0,213.899,0.528,0.278,0.08,0.171,0.528,1.334e-4,5.187e-4,3.829e-4,0,0,0,0,-3.878e-6,0,0,0.286,769.569,9.805e-4,331.472,0.624,3.261e7,0.157,192.898,0.05,0.321,0.027
9.935,2273.836,2273.836,201.97,205.856,-21.422,21.547,382.07,0.135,382.07,89.98,39.81,2.314,28.61,-80.596,0.001,-1.256e-8,-9.421e-4,-0.001,78.849,89.957,17.82,3.332,7.887,0.074,9.785,2.23,1.638,3.773,0,0,211.249,0.528,0.278,0.08,0.17,0.528,2.955e-4,0.002,7.433e-5,0,0,0,0,-2.992e-6,0,0,0.22,768.594,9.795e-4,331.432,0.621,3.241e7,0.157,192.898,0.05,0.322,0.027
9.985,2283.908,2283.908,200.902,204.786,-21.277,21.4,384.058,0.137,384.058,89.98,39.695,2.293,28.61,-80.596,0.001,-1.249e-8,-6.963e-4,-0.001,78.823,89.957,17.82,3.332,7.887,0.074,9.785,2.229,1.638,3.771,0,0,208.638,0.527,0.278,0.08,0.17,0.527,2.043e-4,9.079e-4,-1.197e-4,0,0,0,0,-1.651e-6,0,0,0.155,767.625,9.785e-4,331.393,0.618,3.221e7,0.157,192.898,0.05,0.322,0.026
10.035,2293.926,2293.926,199.842,203.724,-21.133,21.255,386.04,0.138,386.04,89.98,39.581,2.273,28.61,-80.596,2.92e-4,-1.247e-8,0.001,5.115e-4,78.797,89.962,17.82,3.332,7.887,0.074,9.785,2.229,1.638,3.769,0,0,206.067,0.527,0.278,0.079,0.169,0.527,5.832e-5,3.43e-4,7.617e-5,0,0,0,0,6.085e-6,0,0,0.089,766.661,9.775e-4,331.353,0.615,3.202e7,0.157,192.898,0.05,0.323,0.026
10.085,2303.892,2303.892,198.789,202.669,-20.992,21.113,388.016,0.139,388.016,89.979,39.467,2.253,28.61,-80.596,0.001,-1.248e-8,9.435e-4,0.001,78.772,89.967,17.82,3.332,7.887,0.074,9.785,2.229,1.638,3.767,0,0,203.533,0.526,0.278,0.079,0.169,0.526,2.784e-4,0.001,-1.008e-4,0,0,0,0,3.096e-6,0,0,0.025,765.701,9.765e-4,331.314,0.612,3.183e7,0.157,192.898,0.05,0.324,0.026
10.135,2313.805,2313.805,197.743,201.621,-20.854,20.973,389.986,0.141,389.986,89.979,39.355,2.232,28.61,-80.596,0.002,-1.243e-8,0.001,0.001,78.745,89.968,17.82,3.332,7.887,0.074,9.785,2.228,1.638,3.765,0,0,201.037,0.526,0.278,0.079,0.168,0.526,3.216e-4,0.001,4.564e-4,0,0,0,0,3.649e-6,0,0,-0.04,764.747,9.755e-4,331.275,0.609,3.164e7,0.157,192.898,0.05,0.325,0.026
10.185,2323.666,2323.666,196.704,200.58,-20.718,20.835,391.951,0.142,391.951,89.979,39.244,2.208,28.61,-80.596,9.451e-4,-1.244e-8,0.001,8.826e-4,78.718,89.965,17.82,3.332,7.887,0.074,9.785,2.228,1.638,3.763,0,0,198.577,0.525,0.278,0.079,0.168,0.525,1.885e-4,5.303e-4,-2.274e-4,0,0,0,0,5.519e-6,0,0,-0.104,763.798,9.745e-4,331.236,0.606,3.145e7,0.157,192.898,0.05,0.325,0.026
10.235,2333.476,2333.476,195.671,199.546,-20.583,20.699,393.911,0.143,393.911,89.979,39.134,2.185,28.61,-80.596,4.009e-4,-1.244e-8,9.556e-4,-0.001,78.69,89.96,17.82,3.332,7.887,0.074,9.785,2.228,1.638,3.762,0,0,196.153,0.525,0.279,0.079,0.167,0.525,7.991e-5,6.908e-4,-1.26e-4,0,0,0,0,3.276e-6,0,0,-0.168,762.854,9.735e-4,331.197,0.602,3.126e7,0.157,192.898,0.05,0.326,0.026
10.285,2343.234,2343.234,194.645,198.519,-20.451,20.565,395.865,0.144,395.865,89.979,39.026,2.162,28.61,-80.596,8.412e-4,-1.248e-8,-2.848e-4,-0.002,78.663,89.957,17.82,3.332,7.887,0.074,9.785,2.228,1.638,3.76,0,0,193.764,0.524,0.279,0.079,0.167,0.524,1.676e-4,7.82e-4,5.052e-5,0,0,0,0,-2.94e-7,0,0,-0.231,761.915,9.725e-4,331.159,0.599,3.107e7,0.157,192.898,0.05,0.327,0.026
10.335,2352.94,2352.94,193.626,197.498,-20.321,20.433,397.813,0.146,397.813,89.979,38.918,2.141,28.61,-80.596,6.547e-4,-1.247e-8,-4.96e-4,-0.001,78.635,89.958,17.82,3.332,7.887,0.074,9.785,2.227,1.638,3.758,0,0,191.41,0.524,0.279,0.079,0.166,0.524,1.304e-4,3.755e-5,-3.073e-4,0,0,0,0,-9.013e-7,0,0,-0.294,760.98,9.716e-4,331.121,0.596,3.089e7,0.157,192.898,0.05,0.327,0.025
10.385,2362.596,2362.596,192.613,196.484,-20.192,20.303,399.757,0.147,399.757,89.979,38.812,2.121,28.61,-80.596,1.048e-4,-1.248e-8,0,0,78.607,89.96,17.82,3.332,7.887,0.074,9.785,2.227,1.638,3.757,0,0,189.089,0.523,0.279,0.079,0.166,0.523,2.086e-5,-8.555e-5,3.471e-4,0,0,0,0,0,0,0,-0.357,760.051,9.706e-4,331.083,0.593,3.071e7,0.157,192.898,0.05,0.328,0.025
10.435,2372.202,2372.202,191.607,195.477,-20.064,20.174,401.695,0.148,401.695,89.979,38.706,2.103,28.61,-80.596,7.374e-4,-1.248e-8,0.001,5.372e-4,78.58,89.962,17.82,3.332,7.887,0.074,9.785,2.227,1.638,3.755,0,0,186.801,0.523,0.279,0.078,0.165,0.523,1.467e-4,2.893e-4,-1.154e-4,0,0,0,0,7.496e-6,0,0,-0.419,759.126,9.697e-4,331.045,0.59,3.052e7,0.157,192.898,0.05,0.329,0.025
10.485,2381.757,2381.757,190.607,194.476,-19.939,20.048,403.627,0.15,403.627,89.979,38.601,2.085,28.61,-80.596,0.001,-1.25e-8,0.002,3.555e-4,78.553,89.962,17.82,3.332,7.887,0.074,9.785,2.227,1.638,3.753,0,0,184.546,0.522,0.279,0.078,0.165,0.522,2.641e-4,0.001,-7.356e-5,0,0,0,0,8.614e-6,0,0,-0.481,758.207,9.687e-4,331.007,0.588,3.034e7,0.157,192.898,0.05,0.329,0.025
10.535,2391.262,2391.262,189.613,193.481,-19.816,19.923,405.555,0.151,405.555,89.979,38.498,2.064,28.61,-80.596,0.001,-1.255e-8,0.002,1.643e-4,78.524,89.961,17.82,3.332,7.887,0.074,9.785,2.226,1.638,3.752,0,0,182.323,0.522,0.279,0.078,0.164,0.522,2.239e-4,0.001,-7.752e-5,0,0,0,0,9.807e-6,0,0,-0.543,757.292,9.678e-4,330.97,0.585,3.016e7,0.157,192.898,0.05,0.33,0.025
10.585,2400.718,2400.718,188.625,192.493,-19.695,19.8,407.477,0.152,407.477,89.979,38.395,2.041,28.61,-80.596,2.171e-4,-1.253e-8,0,0,78.495,89.959,17.82,3.332,7.887,0.074,9.785,2.226,1.638,3.75,0,0,180.131,0.521,0.279,0.078,0.164,0.521,4.313e-5,4.211e-4,-4.739e-4,0,0,0,0,0,0,0,-0.605,756.381,9.668e-4,330.932,0.582,2.999e7,0.157,192.898,0.05,0.331,0.025
10.635,2410.125,2410.125,187.643,191.511,-19.576,19.679,409.394,0.154,409.394,89.978,38.294,2.019,28.61,-80.596,6.523e-4,-1.253e-8,-0.002,-4.062e-4,78.465,89.959,17.82,3.332,7.887,0.074,9.785,2.226,1.638,3.749,0,0,177.97,0.521,0.279,0.078,0.164,0.521,1.295e-4,5.716e-4,1.603e-4,0,0,0,0,-9.723e-6,0,0,-0.666,755.476,9.659e-4,330.895,0.579,2.981e7,0.157,192.898,0.05,0.331,0.025
10.685,2419.483,2419.483,186.667,190.535,-19.457,19.56,411.306,0.155,411.306,89.978,38.193,2,28.61,-80.596,6.228e-4,-1.255e-8,-0.002,1.993e-4,78.436,89.96,17.82,3.332,7.887,0.074,9.785,2.226,1.638,3.747,0,0,175.838,0.52,0.279,0.078,0.163,0.52,1.236e-4,5.366e-6,-8.031e-5,0,0,0,0,-9.925e-6,0,0,-0.727,754.575,9.649e-4,330.859,0.576,2.963e7,0.157,192.898,0.05,0.332,0.025
10.735,2428.792,2428.792,185.697,189.564,-19.34,19.442,413.214,0.157,413.214,89.978,38.093,1.983,28.61,-80.596,4.677e-4,-1.256e-8,-1.523e-4,0.002,78.407,89.962,17.82,3.332,7.887,0.074,9.785,2.225,1.638,3.746,0,0,173.737,0.52,0.28,0.078,0.163,0.52,9.279e-5,8.466e-4,2.023e-4,0,0,0,0,-9.217e-8,0,0,-0.787,753.679,9.64e-4,330.822,0.573,2.946e7,0.157,192.898,0.05,0.333,0.024
10.785,2438.053,2438.053,184.733,188.6,-19.225,19.325,415.116,0.158,415.116,89.978,37.995,1.967,28.61,-80.596,0.001,-1.255e-8,0.001,0.001,78.379,89.962,17.82,3.332,7.887,0.074,9.785,2.225,1.638,3.744,0,0,171.664,0.52,0.28,0.078,0.162,0.52,2.054e-4,3.227e-4,-2.83e-4,0,0,0,0,6.257e-6,0,0,-0.847,752.788,9.631e-4,330.785,0.57,2.929e7,0.157,192.898,0.05,0.334,0.024
10.835,2447.265,2447.265,183.775,187.642,-19.111,19.21,417.013,0.159,417.013,89.978,37.897,1.95,28.61,-80.596,0.001,-1.255e-8,0.002,6.918e-4,78.349,89.962,17.82,3.332,7.887,0.074,9.785,2.225,1.638,3.743,0,0,169.62,0.519,0.28,0.078,0.162,0.519,2.62e-4,0.001,-2.404e-4,0,0,0,0,9.157e-6,0,0,-0.907,751.901,9.621e-4,330.749,0.567,2.911e7,0.157,192.898,0.05,0.334,0.024
10.885,2456.43,2456.43,182.822,186.689,-18.999,19.097,418.905,0.161,418.906,89.978,37.8,1.931,28.61,-80.596,0.001,-1.256e-8,0.002,2.11e-4,78.319,89.96,17.82,3.332,7.887,0.074,9.785,2.225,1.638,3.741,0,0,167.603,0.519,0.28,0.077,0.161,0.519,2.005e-4,8.674e-4,-9.706e-5,0,0,0,0,1.148e-5,0,0,-0.967,751.019,9.612e-4,330.713,0.565,2.894e7,0.157,192.898,0.05,0.335,0.024
10.935,2465.548,2465.548,181.875,185.742,-18.889,18.986,420.793,0.162,420.793,89.978,37.704,1.911,28.61,-80.596,6.189e-4,-1.259e-8,0.001,-0.001,78.289,89.957,17.82,3.332,7.887,0.074,9.785,2.224,1.638,3.74,0,0,165.614,0.518,0.28,0.077,0.161,0.518,1.226e-4,6.065e-4,4.958e-4,0,0,0,0,7.181e-6,0,0,-1.026,750.141,9.603e-4,330.677,0.562,2.877e7,0.157,192.898,0.05,0.336,0.024
10.985,2474.618,2474.618,180.933,184.801,-18.781,18.876,422.676,0.163,422.676,89.978,37.609,1.892,28.61,-80.596,7.444e-4,-1.259e-8,-1.756e-4,-0.002,78.258,89.955,17.82,3.332,7.887,0.074,9.785,2.224,1.638,3.739,0,0,163.652,0.518,0.28,0.077,0.161,0.518,1.474e-4,3.531e-4,-3.856e-4,0,0,0,0,-1.289e-7,0,0,-1.085,749.268,9.594e-4,330.641,0.559,2.861e7,0.157,192.898,0.05,0.336,0.024
11.035,2483.641,2483.641,179.997,183.865,-18.674,18.767,424.554,0.165,424.554,89.978,37.515,1.874,28.61,-80.596,7.974e-4,-1.259e-8,-7.02e-4,-0.002,78.227,89.955,17.82,3.332,7.887,0.074,9.785,2.224,1.638,3.737,0,0,161.717,0.517,0.28,0.077,0.16,0.517,1.578e-4,0.001,3.61e-4,0,0,0,0,-2.082e-6,0,0,-1.144,748.4,9.585e-4,330.606,0.556,2.844e7,0.157,192.898,0.05,0.337,0.024
11.085,2492.618,2492.618,179.066,182.934,-18.568,18.66,426.427,0.166,426.427,89.978,37.421,1.857,28.61,-80.596,2.055e-4,-1.261e-8,0,0,78.196,89.957,17.82,3.332,7.887,0.074,9.785,2.224,1.638,3.736,0,0,159.807,0.517,0.28,0.077,0.16,0.517,4.065e-5,-2.91e-4,-3.445e-4,0,0,0,0,0,0,0,-1.202,747.536,9.576e-4,330.57,0.553,2.827e7,0.157,192.898,0.05,0.338,0.024
11.135,2501.548,2501.548,178.14,182.009,-18.463,18.554,428.296,0.167,428.296,89.978,37.329,1.841,28.61,-80.596,6.685e-4,-1.261e-8,8.221e-4,0.001,78.165,89.96,17.82,3.332,7.887,0.074,9.784,2.224,1.638,3.735,0,0,157.924,0.517,0.28,0.077,0.159,0.517,1.322e-4,3.215e-5,-8.716e-5,0,0,0,0,2.914e-6,0,0,-1.26,746.684,9.567e-4,330.535,0.551,2.811e7,0.157,192.898,0.05,0.338,0.023
11.185,2510.432,2510.432,177.22,181.089,-18.36,18.45,430.16,0.169,430.16,89.978,37.237,1.827,28.61,-80.596,0.001,-1.261e-8,0.001,0.001,78.135,89.962,17.82,3.332,7.887,0.074,9.784,2.223,1.638,3.733,0,0,156.074,0.516,0.28,0.077,0.159,0.516,2.737e-4,0.001,2.515e-4,0,0,0,0,6.621e-6,0,0,-1.318,745.871,9.559e-4,330.5,0.548,2.795e7,0.157,192.898,0.05,0.339,0.023
11.235,2519.27,2519.27,176.304,180.175,-18.258,18.348,432.02,0.17,432.02,89.977,37.146,1.811,28.61,-80.596,0.002,-1.259e-8,0.002,8.001e-4,78.104,89.961,17.82,3.332,7.887,0.074,9.784,2.223,1.638,3.732,0,0,154.248,0.516,0.28,0.077,0.159,0.516,3.006e-4,0.001,1.277e-4,0,0,0,0,1.073e-5,0,0,-1.375,745.062,9.55e-4,330.465,0.545,2.779e7,0.157,192.898,0.05,0.34,0.023
11.285,2528.062,2528.062,175.394,179.265,-18.158,18.247,433.875,0.172,433.875,89.977,37.056,1.794,28.61,-80.596,0.001,-1.26e-8,0.002,1.47e-4,78.071,89.958,17.82,3.332,7.887,0.074,9.784,2.223,1.638,3.731,0,0,152.446,0.515,0.281,0.077,0.158,0.515,2.063e-4,3.307e-4,-4.599e-4,0,0,0,0,1.44e-5,0,0,-1.432,744.258,9.542e-4,330.431,0.543,2.763e7,0.157,192.898,0.05,0.34,0.023
11.335,2536.809,2536.809,174.488,178.361,-18.06,18.147,435.725,0.173,435.725,89.977,36.967,1.776,28.61,-80.596,6.23e-4,-1.261e-8,0.001,-0.001,78.039,89.956,17.82,3.332,7.887,0.074,9.784,2.223,1.638,3.73,0,0,150.668,0.515,0.281,0.077,0.158,0.515,1.23e-4,3.817e-4,1.985e-4,0,0,0,0,9.861e-6,0,0,-1.489,743.458,9.534e-4,330.396,0.54,2.747e7,0.157,192.898,0.05,0.341,0.023
11.385,2545.511,2545.511,173.588,177.462,-17.963,18.049,437.572,0.174,437.572,89.977,36.878,1.759,28.61,-80.596,6.964e-4,-1.261e-8,3.513e-5,-0.002,78.006,89.954,17.82,3.332,7.887,0.074,9.784,2.223,1.638,3.729,0,0,148.912,0.515,0.281,0.076,0.158,0.515,1.374e-4,2.079e-5,3.022e-4,0,0,0,0,5.598e-9,0,0,-1.546,742.662,9.526e-4,330.362,0.537,2.731e7,0.157,192.898,0.05,0.342,0.023
11.435,2554.168,2554.168,172.692,176.567,-17.867,17.952,439.413,0.176,439.413,89.977,36.791,1.742,28.61,-80.595,8e-4,-1.261e-8,-8.307e-4,-0.002,77.973,89.953,17.82,3.332,7.887,0.074,9.784,2.223,1.638,3.728,0,0,147.18,0.514,0.281,0.076,0.157,0.514,1.578e-4,4.535e-4,-1.782e-4,0,0,0,0,-3.162e-6,0,0,-1.602,741.87,9.517e-4,330.328,0.535,2.715e7,0.157,192.898,0.05,0.342,0.023
11.485,2562.78,2562.78,171.801,175.678,-17.772,17.856,441.251,0.177,441.251,89.977,36.704,1.727,28.61,-80.595,4.959e-4,-1.263e-8,-8.904e-4,-0.002,77.94,89.954,17.82,3.332,7.887,0.074,9.784,2.222,1.638,3.727,0,0,145.469,0.514,0.281,0.076,0.157,0.514,9.777e-5,-4.274e-5,4.297e-4,0,0,0,0,-3.67e-6,0,0,-1.658,741.082,9.509e-4,330.294,0.532,2.7e7,0.157,192.898,0.05,0.343,0.023
11.535,2571.348,2571.348,170.915,174.793,-17.678,17.761,443.084,0.178,443.084,89.977,36.618,1.713,28.61,-80.595,2.306e-4,-1.263e-8,0,0,77.908,89.956,17.82,3.332,7.887,0.074,9.784,2.222,1.638,3.726,0,0,143.781,0.514,0.281,0.076,0.156,0.514,4.546e-5,5.815e-4,4.728e-4,0,0,0,0,0,0,0,-1.714,740.298,9.501e-4,330.26,0.529,2.684e7,0.157,192.898,0.05,0.344,0.023
11.585,2579.872,2579.872,170.033,173.913,-17.585,17.667,444.912,0.18,444.913,89.977,36.533,1.699,28.61,-80.595,9.076e-4,-1.262e-8,0.002,0.001,77.875,89.958,17.82,3.332,7.887,0.074,9.784,2.222,1.638,3.724,0,0,142.114,0.513,0.281,0.076,0.156,0.513,1.788e-4,3.415e-4,-3.673e-4,0,0,0,0,1.091e-5,0,0,-1.769,739.519,9.493e-4,330.227,0.527,2.669e7,0.157,192.898,0.05,0.344,0.022
11.635,2588.352,2588.352,169.156,173.038,-17.494,17.575,446.737,0.181,446.737,89.977,36.448,1.685,28.61,-80.595,0.001,-1.261e-8,0.001,0.001,77.841,89.96,17.82,3.332,7.887,0.074,9.784,2.222,1.638,3.723,0,0,140.468,0.513,0.281,0.076,0.156,0.513,2.655e-4,0.001,1.684e-4,0,0,0,0,9.027e-6,0,0,-1.824,738.743,9.485e-4,330.193,0.524,2.654e7,0.157,192.898,0.05,0.345,0.022
11.685,2596.788,2596.788,168.284,172.168,-17.404,17.484,448.557,0.183,448.557,89.977,36.364,1.67,28.61,-80.595,0.001,-1.263e-8,0.001,0.001,77.807,89.96,17.82,3.332,7.887,0.074,9.784,2.222,1.638,3.722,0,0,138.843,0.512,0.281,0.076,0.155,0.512,2.345e-4,0.001,-1.158e-4,0,0,0,0,9.271e-6,0,0,-1.879,737.971,9.477e-4,330.16,0.521,2.639e7,0.157,192.898,0.05,0.346,0.022
11.735,2605.18,2605.18,167.416,171.302,-17.315,17.394,450.373,0.184,450.373,89.977,36.281,1.654,28.61,-80.595,5.737e-4,-1.264e-8,0.002,7.518e-4,77.773,89.957,17.82,3.332,7.887,0.074,9.784,2.222,1.638,3.721,0,0,137.239,0.512,0.281,0.076,0.155,0.512,1.129e-4,1.933e-4,2.194e-4,0,0,0,0,1.527e-5,0,0,-1.934,737.203,9.469e-4,330.127,0.519,2.624e7,0.157,192.898,0.05,0.347,0.022
11.785,2613.529,2613.529,166.552,170.44,-17.227,17.305,452.185,0.186,452.186,89.976,36.199,1.639,28.61,-80.595,4.248e-4,-1.263e-8,8.885e-4,-0.002,77.738,89.954,17.82,3.332,7.887,0.074,9.784,2.221,1.638,3.72,0,0,135.654,0.512,0.281,0.076,0.155,0.512,8.357e-5,7.533e-4,1.033e-4,0,0,0,0,3.883e-6,0,0,-1.988,736.44,9.461e-4,330.094,0.516,2.609e7,0.157,192.898,0.05,0.347,0.022
11.835,2621.835,2621.835,165.693,169.584,-17.141,17.218,453.993,0.187,453.993,89.976,36.117,1.623,28.61,-80.595,6.769e-4,-1.264e-8,-3.684e-4,-0.002,77.703,89.952,17.82,3.332,7.887,0.074,9.784,2.221,1.638,3.719,0,0,134.09,0.511,0.281,0.076,0.154,0.511,1.331e-4,2.33e-4,4.698e-4,0,0,0,0,-6.741e-7,0,0,-2.042,735.68,9.453e-4,330.061,0.514,2.594e7,0.157,192.898,0.05,0.348,0.022
11.885,2630.099,2630.099,164.838,168.731,-17.055,17.131,455.797,0.188,455.797,89.976,36.037,1.609,28.61,-80.595,6.535e-4,-1.264e-8,-8.278e-4,-0.002,77.668,89.952,17.82,3.332,7.887,0.074,9.784,2.221,1.638,3.719,0,0,132.545,0.511,0.282,0.076,0.154,0.511,1.285e-4,8.383e-4,-4.23e-4,0,0,0,0,-3.439e-6,0,0,-2.096,734.924,9.445e-4,330.029,0.511,2.579e7,0.157,192.898,0.05,0.349,0.022
11.935,2638.319,2638.319,163.987,167.883,-16.97,17.045,457.597,0.19,457.597,89.976,35.957,1.596,28.61,-80.595,2.097e-4,-1.265e-8,0,0,77.633,89.954,17.82,3.332,7.887,0.074,9.784,2.221,1.638,3.718,0,0,131.019,0.511,0.282,0.075,0.154,0.511,4.122e-5,-8.117e-5,-4.746e-4,0,0,0,0,0,0,0,-2.149,734.172,9.438e-4,329.997,0.509,2.564e7,0.157,192.898,0.05,0.349,0.022
11.985,2646.497,2646.497,163.141,167.039,-16.887,16.961,459.393,0.191,459.393,89.976,35.877,1.583,28.61,-80.595,5.776e-4,-1.266e-8,0.002,6.454e-4,77.598,89.955,17.82,3.332,7.887,0.074,9.784,2.221,1.638,3.717,0,0,129.513,0.51,0.282,0.075,0.153,0.51,1.135e-4,4.809e-4,-3.8e-4,0,0,0,0,1.719e-5,0,0,-2.202,733.424,9.43e-4,329.964,0.506,2.55e7,0.157,192.898,0.05,0.35,0.022
12.035,2654.633,2654.633,162.299,166.2,-16.804,16.877,461.185,0.193,461.185,89.976,35.798,1.571,28.61,-80.595,0.001,-1.266e-8,0.002,8.967e-4,77.563,89.957,17.82,3.332,7.887,0.074,9.784,2.221,1.638,3.716,0,0,128.024,0.51,0.282,0.075,0.153,0.51,2.608e-4,0.001,4.701e-4,0,0,0,0,1.585e-5,0,0,-2.255,732.679,9.422e-4,329.932,0.504,2.535e7,0.157,192.898,0.05,0.351,0.021
12.085,2662.727,2662.727,161.461,165.364,-16.722,16.794,462.973,0.194,462.973,89.976,35.72,1.559,28.61,-80.595,0.002,-1.264e-8,0.002,9.478e-4,77.527,89.958,17.82,3.332,7.887,0.074,9.784,2.221,1.638,3.715,0,0,126.554,0.51,0.282,0.075,0.153,0.51,3.434e-4,0.001,-2.768e-5,0,0,0,0,1.624e-5,0,0,-2.308,731.939,9.414e-4,329.9,0.501,2.521e7,0.157,192.898,0.05,0.351,0.021
12.135,2670.779,2670.779,160.626,164.533,-16.641,16.713,464.757,0.195,464.757,89.976,35.642,1.545,28.61,-80.595,0.002,-1.265e-8,0.002,7.623e-4,77.491,89.957,17.82,3.332,7.887,0.074,9.784,2.22,1.638,3.714,0,0,125.102,0.509,0.282,0.075,0.152,0.509,3.232e-4,0.002,-4.296e-4,0,0,0,0,1.885e-5,0,0,-2.36,731.202,9.407e-4,329.869,0.499,2.506e7,0.157,192.898,0.05,0.352,0.021
12.185,2678.79,2678.79,159.796,163.706,-16.562,16.633,466.537,0.197,466.537,89.976,35.565,1.531,28.61,-80.595,0.001,-1.265e-8,0.002,1.499e-4,77.453,89.954,17.82,3.332,7.887,0.074,9.784,2.22,1.638,3.713,0,0,123.668,0.509,0.282,0.075,0.152,0.509,2.123e-4,8.693e-4,4.364e-4,0,0,0,0,2.294e-5,0,0,-2.412,730.47,9.399e-4,329.837,0.496,2.492e7,0.157,192.898,0.05,0.353,0.021
12.235,2686.759,2686.759,158.97,162.883,-16.484,16.553,468.313,0.198,468.313,89.976,35.489,1.516,28.61,-80.595,5.919e-4,-1.267e-8,0.001,-0.002,77.416,89.952,17.82,3.332,7.887,0.074,9.784,2.22,1.638,3.713,0,0,122.251,0.509,0.282,0.075,0.152,0.509,1.161e-4,3.842e-4,4.689e-4,0,0,0,0,9.495e-6,0,0,-2.464,729.741,9.392e-4,329.806,0.494,2.478e7,0.157,192.898,0.05,0.353,0.021
12.285,2694.687,2694.687,158.148,162.065,-16.406,16.475,470.086,0.2,470.086,89.976,35.414,1.501,28.61,-80.595,9.097e-4,-1.266e-8,-6.723e-4,-0.002,77.378,89.95,17.82,3.332,7.887,0.074,9.784,2.22,1.638,3.712,0,0,120.851,0.508,0.282,0.075,0.151,0.508,1.784e-4,0.001,2.513e-4,0,0,0,0,-2.458e-6,0,0,-2.515,729.015,9.384e-4,329.775,0.491,2.464e7,0.157,192.898,0.05,0.354,0.021
12.335,2702.574,2702.574,157.33,161.25,-16.33,16.398,471.855,0.201,471.855,89.976,35.339,1.488,28.61,-80.595,0.001,-1.268e-8,-0.001,-0.002,77.34,89.949,17.82,3.332,7.887,0.074,9.784,2.22,1.638,3.711,0,0,119.469,0.508,0.282,0.075,0.151,0.508,1.965e-4,3.164e-4,3.654e-4,0,0,0,0,-8.788e-6,0,0,-2.567,728.294,9.377e-4,329.743,0.489,2.45e7,0.157,192.898,0.05,0.355,0.021
12.385,2710.42,2710.42,156.515,160.439,-16.254,16.321,473.62,0.203,473.62,89.975,35.265,1.476,28.61,-80.595,5.742e-4,-1.269e-8,-0.002,-0.001,77.302,89.951,17.82,3.332,7.887,0.074,9.784,2.22,1.638,3.71,0,0,118.102,0.508,0.282,0.075,0.151,0.508,1.125e-4,7.109e-4,-2.944e-4,0,0,0,0,-1.66e-5,0,0,-2.618,727.576,9.369e-4,329.713,0.487,2.436e7,0.157,192.898,0.05,0.355,0.021
12.435,2718.226,2718.226,155.704,159.632,-16.179,16.245,475.381,0.204,475.381,89.975,35.192,1.465,28.61,-80.595,2.85e-4,-1.269e-8,0,0,77.264,89.954,17.82,3.332,7.887,0.074,9.784,2.22,1.638,3.71,0,0,116.752,0.507,0.282,0.075,0.15,0.507,5.584e-5,5.729e-4,-3.137e-4,0,0,0,0,0,0,0,-2.668,726.862,9.362e-4,329.682,0.484,2.422e7,0.157,192.898,0.05,0.356,0.021
12.485,2725.991,2725.991,154.897,158.828,-16.104,16.17,477.139,0.206,477.139,89.975,35.119,1.454,28.61,-80.595,9.551e-4,-1.27e-8,0.002,0.001,77.227,89.955,17.82,3.332,7.887,0.074,9.784,2.22,1.638,3.709,0,0,115.419,0.507,0.282,0.075,0.15,0.507,1.871e-4,2.494e-4,4.891e-4,0,0,0,0,1.576e-5,0,0,-2.719,726.152,9.354e-4,329.651,0.482,2.408e7,0.157,192.898,0.05,0.357,0.02
