# mach vs cd (Up to date)
# 960 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27 m/s):  "Drogue Parachute"
#   Recovery device deployment at high speed (30.4 m/s):  "Main Parachute"
#
# Drag coefficient (​),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
16.286,0.093
16.286,0.093
16.286,0.093
16.286,0.093
16.286,0.093
16.286,0.093
16.286,0.093
16.286,0.092
16.286,0.092
16.286,0.092
16.286,0.092
16.286,0.092
16.286,0.092
16.286,0.092
16.286,0.092
16.286,0.092
16.286,0.092
16.286,0.092
16.286,0.091
16.286,0.091
16.286,0.091
16.286,0.091
16.286,0.091
16.286,0.091
16.286,0.091
16.286,0.091
16.286,0.091
16.286,0.091
16.286,0.091
16.286,0.091
16.286,0.09
16.286,0.09
16.286,0.09
16.286,0.09
16.286,0.09
16.286,0.09
16.286,0.09
16.286,0.09
16.286,0.09
16.286,0.09
16.286,0.09
16.286,0.09
# Event SIM_WARN occurred at t=134.564 seconds: Recovery device deployment at high speed (30.4 m/s):  "Main Parachute"
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=134.564 seconds
548.878,0.09
548.878,0.087
548.878,0.084
548.878,0.081
548.878,0.078
548.878,0.075
548.878,0.072
548.878,0.069
548.878,0.066
548.878,0.063
548.878,0.06
548.878,0.057
548.878,0.054
548.878,0.051
548.878,0.048
548.878,0.045
548.878,0.042
548.878,0.04
548.878,0.037
548.878,0.034
548.878,0.031
548.878,0.028
548.878,0.025
548.878,0.022
548.878,0.019
548.878,0.016
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
548.878,0.015
